run,label,direction,kind,bytes,mode,workers,trial,persistence,request_bytes,split_min_bytes,elapsed_seconds,status,verified,control_ready_seconds,planning_complete_seconds,workers_complete_seconds,worker_startup_min_seconds,worker_startup_max_seconds,range_requests,streaming_ranges,streamed_blocks,stream_discarded_bytes,stream_shrink_requests,small_batches,local_whole_files
streaming-oxtwxfax,push-small-auto-p16-j1-r1,push,small,8388608,auto-p16,1,1,off,4194304,33554432,11.575865750201046,ok,True,3.32,5.81,11.17,0.65,0.65,0,0,0,0,0,2,0
streaming-oxtwxfax,push-small-auto-p4-j8-r1,push,small,8388608,auto-p4,8,1,off,4194304,33554432,10.697947000153363,ok,True,3.53,6.02,10.23,0.66,0.67,0,0,0,0,0,8,0
streaming-oxtwxfax,push-small-auto-streaming-j8-r1,push,small,8388608,auto-streaming,8,1,off,4194304,33554432,10.71315383259207,ok,True,3.53,6.09,10.29,0.72,0.73,0,0,0,0,0,8,0
streaming-oxtwxfax,push-small-auto-p16-j8-r1,push,small,8388608,auto-p16,8,1,off,4194304,33554432,10.516240417025983,ok,True,3.52,5.97,10.1,0.65,0.66,0,0,0,0,0,8,0
streaming-oxtwxfax,push-small-rsync-j0-r1,push,small,8388608,rsync,0,1,off,,,7.563330125063658,ok,True,,,,,,,,,,,,
streaming-oxtwxfax,push-large-auto-p16-j1-r2,push,large,16777216,auto-p16,1,2,off,4194304,33554432,14.75142720900476,ok,True,3.32,4.54,14.33,3.49,3.49,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-auto-p4-j8-r2,push,large,16777216,auto-p4,8,2,off,4194304,33554432,14.907233458012342,ok,True,3.52,4.83,14.48,3.44,6.07,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-auto-streaming-j8-r2,push,large,16777216,auto-streaming,8,2,off,4194304,33554432,14.841693749651313,ok,True,3.43,4.65,14.42,3.7,6.08,0,1,4,0,0,0,0
streaming-oxtwxfax,push-large-auto-p16-j8-r2,push,large,16777216,auto-p16,8,2,off,4194304,33554432,16.954318458680063,ok,True,3.29,4.53,16.54,3.28,5.86,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-rsync-j0-r2,push,large,16777216,rsync,0,2,off,,,19.84160912502557,ok,True,,,,,,,,,,,,
streaming-oxtwxfax,push-large-auto-p4-j1-r2,push,large,16777216,auto-p4,1,2,off,4194304,33554432,15.087968749925494,ok,True,3.67,4.89,14.66,3.75,3.75,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-auto-streaming-j1-r2,push,large,16777216,auto-streaming,1,2,off,4194304,33554432,25.099443959072232,timeout,False,3.44,4.86,,3.48,3.48,,,,,,,
streaming-oxtwxfax,push-small-auto-p16-j1-r2,push,small,8388608,auto-p16,1,2,off,4194304,33554432,11.782664250116795,ok,True,3.53,5.99,11.38,0.67,0.67,0,0,0,0,0,2,0
streaming-oxtwxfax,push-small-auto-p4-j8-r2,push,small,8388608,auto-p4,8,2,off,4194304,33554432,11.859158124774694,ok,True,3.28,5.62,11.46,0.63,0.63,0,0,0,0,0,8,0
streaming-oxtwxfax,push-small-auto-streaming-j8-r2,push,small,8388608,auto-streaming,8,2,off,4194304,33554432,9.938479416072369,ok,True,3.3,5.74,9.45,0.69,0.71,0,0,0,0,0,8,0
streaming-oxtwxfax,push-small-auto-p16-j8-r2,push,small,8388608,auto-p16,8,2,off,4194304,33554432,18.04330712510273,ok,True,3.52,6.0,17.56,0.66,0.67,0,0,0,0,0,8,0
streaming-oxtwxfax,push-small-rsync-j0-r2,push,small,8388608,rsync,0,2,off,,,7.538858832791448,ok,True,,,,,,,,,,,,
streaming-oxtwxfax,push-small-auto-p4-j1-r2,push,small,8388608,auto-p4,1,2,off,4194304,33554432,12.062251000199467,ok,True,3.52,6.07,11.52,0.62,0.62,0,0,0,0,0,2,0
streaming-oxtwxfax,push-small-auto-streaming-j1-r2,push,small,8388608,auto-streaming,1,2,off,4194304,33554432,12.064237041864544,ok,True,3.43,5.94,11.64,0.62,0.62,0,0,0,0,0,2,0
streaming-oxtwxfax,push-large-auto-streaming-j8-r3,push,large,16777216,auto-streaming,8,3,off,4194304,33554432,15.61469900002703,ok,True,3.66,4.89,15.19,3.33,5.87,0,1,4,0,0,0,0
streaming-oxtwxfax,push-large-auto-p16-j8-r3,push,large,16777216,auto-p16,8,3,off,4194304,33554432,16.090132750105113,ok,True,3.44,4.67,15.68,3.32,5.9,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-rsync-j0-r3,push,large,16777216,rsync,0,3,off,,,9.985060708131641,ok,True,,,,,,,,,,,,
streaming-oxtwxfax,push-large-auto-p4-j1-r3,push,large,16777216,auto-p4,1,3,off,4194304,33554432,15.503873209003359,ok,True,3.29,4.52,15.07,3.47,3.47,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-auto-streaming-j1-r3,push,large,16777216,auto-streaming,1,3,off,4194304,33554432,14.777222333941609,ok,True,3.27,4.5,14.33,3.44,3.44,0,1,4,0,0,0,0
streaming-oxtwxfax,push-large-auto-p16-j1-r3,push,large,16777216,auto-p16,1,3,off,4194304,33554432,23.390751833096147,ok,True,3.31,4.54,22.94,3.62,3.62,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-auto-p4-j8-r3,push,large,16777216,auto-p4,8,3,off,4194304,33554432,15.174379750154912,ok,True,3.28,4.51,14.77,3.83,6.26,4,0,0,0,0,0,0
streaming-oxtwxfax,push-small-auto-streaming-j8-r3,push,small,8388608,auto-streaming,8,3,off,4194304,33554432,9.947102999780327,ok,True,3.3,5.85,9.54,0.61,0.61,0,0,0,0,0,8,0
streaming-oxtwxfax,push-small-auto-p16-j8-r3,push,small,8388608,auto-p16,8,3,off,4194304,33554432,10.268237334210426,ok,True,3.43,5.94,9.84,0.64,0.64,0,0,0,0,0,8,0
streaming-oxtwxfax,push-small-rsync-j0-r3,push,small,8388608,rsync,0,3,off,,,8.072884417138994,ok,True,,,,,,,,,,,,
streaming-oxtwxfax,push-small-auto-p4-j1-r3,push,small,8388608,auto-p4,1,3,off,4194304,33554432,12.263422874733806,ok,True,3.51,6.07,11.84,0.6,0.6,0,0,0,0,0,2,0
